!!id a e inc node peri ma epoch H 
281 47.8910 0.2473 6.6469 87.5905 73.4441 117.7503 53157.0 7.0
287 47.6084 0.3364 4.1425 105.0066 337.5983 329.4613 53157.0 7.0
287 47.6085 0.1786 5.2203 120.0176 256.3182 39.4868 53157.0 7.0
288 47.9072 0.2401 3.3289 74.3478 17.9232 322.0092 53157.0 7.0
289 47.8940 0.2399 5.4051 27.1124 218.1636 244.5823 53157.0 7.0
293 47.6082 0.2302 11.6567 211.1309 139.1587 192.2548 53157.0 7.0
293 47.8557 0.2703 3.7370 252.1529 330.4434 72.9744 53157.0 7.0
295 47.7181 0.1502 11.8157 40.0562 168.6345 120.4819 53157.0 7.0
297 47.9116 0.2139 10.2066 205.6517 226.8241 351.9434 53157.0 7.0
300 47.8264 0.2290 13.2682 8.5198 143.3835 128.5950 53157.0 7.0
300 47.7648 0.2124 5.9797 54.6711 18.0226 346.7686 53157.0 7.0
300 47.8988 0.2622 16.6934 92.2059 33.6709 159.2234 53157.0 7.0
300 47.7739 0.2882 4.2834 116.0394 341.9970 158.7602 53157.0 7.0
300 47.9943 0.2588 8.2676 240.4851 3.2262 86.3187 53157.0 7.0
303 47.7113 0.2969 6.7366 241.6280 261.1962 117.4876 53157.0 7.0
303 47.7962 0.2416 11.6778 76.8909 239.6000 53.8744 53157.0 7.0
304 47.9837 0.2831 0.6660 23.2953 21.1723 168.0752 53157.0 7.0
304 47.7740 0.2557 8.6890 169.7379 220.4756 170.2174 53157.0 7.0
304 47.7778 0.3133 6.6127 157.6288 113.7968 52.4646 53157.0 7.0
304 47.7051 0.2871 5.8896 149.3424 244.7373 174.8969 53157.0 7.0
304 47.8581 0.1883 11.1007 315.0648 198.6925 307.8362 53157.0 7.0
304 47.6846 0.2528 5.1197 258.3739 118.1584 183.6396 53157.0 7.0
305 47.7344 0.2611 3.6945 89.6033 226.5255 44.7909 53157.0 7.0
307 47.9643 0.3336 2.8444 290.0818 176.8874 318.7901 53157.0 7.0
307 47.7840 0.2606 10.1873 314.2390 23.6736 22.5125 53157.0 7.0
307 47.6397 0.2450 11.3824 301.2390 319.5116 267.7196 53157.0 7.0
312 47.8368 0.1689 5.1020 59.6152 324.3267 213.9871 53157.0 7.0
312 47.6633 0.2324 0.9412 12.3369 97.9677 156.3494 53157.0 7.0
314 47.9284 0.2321 13.9832 353.1607 284.7766 261.2274 53157.0 7.0
314 47.7661 0.2118 4.8580 354.6899 287.4142 263.6501 53157.0 7.0
316 47.7979 0.1992 9.5145 124.0505 219.8043 29.8999 53157.0 7.0
319 47.7532 0.1298 6.1216 192.3478 136.5356 205.6442 53157.0 7.0
321 47.6118 0.3269 7.8851 133.6074 11.1074 311.6908 53157.0 7.0
323 47.9598 0.2998 4.0036 327.9073 9.2680 203.9506 53157.0 7.0
323 47.7060 0.1790 3.4473 38.2854 9.4414 179.2249 53157.0 7.0
323 47.8621 0.2463 12.4335 8.9341 10.6773 20.3127 53157.0 7.0
323 47.7145 0.2127 7.2548 327.1637 294.4618 253.4377 53157.0 7.0
323 47.6507 0.2262 3.3619 201.4040 223.6547 159.7527 53157.0 7.0
323 47.7312 0.2088 5.5071 209.1793 238.2456 1.5905 53157.0 7.0
323 47.9608 0.4450 8.1117 97.5506 346.5127 332.6903 53157.0 7.0
323 47.7855 0.3633 15.3333 236.2127 12.6272 244.7287 53157.0 7.0
323 47.6028 0.3114 0.4611 192.3621 48.4625 78.0301 53157.0 7.0
325 47.8199 0.3206 9.1401 306.8709 68.8095 12.7173 53157.0 7.0
327 47.8266 0.2243 8.1888 185.8272 33.4151 106.7038 53157.0 7.0
327 47.6749 0.3142 6.7761 80.1975 154.9236 258.3891 53157.0 7.0
